K,strategy,rep,spearman
2000,random,1,0.9930069930069931
2000,random,2,1.0
2000,random,3,0.9720279720279721
2000,random,4,0.9720279720279721
2000,random,5,0.9580419580419581
2000,random,6,0.9440559440559443
2000,random,7,0.9860139860139862
2000,random,8,0.9790209790209792
2000,random,9,0.9580419580419581
2000,random,10,0.9860139860139862
2000,random,11,0.9930069930069931
2000,random,12,0.9930069930069931
2000,random,13,0.9720279720279721
2000,random,14,0.9860139860139862
2000,random,15,0.9860139860139862
2000,random,16,0.9860139860139862
2000,random,17,1.0
2000,random,18,0.9510489510489512
2000,random,19,0.9510489510489512
2000,random,20,0.965034965034965
2000,random,21,0.9860139860139862
2000,random,22,0.9790209790209792
2000,random,23,1.0
2000,random,24,0.9930069930069931
2000,random,25,0.9860139860139862
2000,random,26,0.9930069930069931
2000,random,27,0.9790209790209792
2000,random,28,0.9860139860139862
2000,random,29,0.9790209790209792
2000,random,30,0.9860139860139862
2000,random,31,0.9720279720279721
2000,random,32,0.9790209790209792
2000,random,33,0.9370629370629372
2000,random,34,0.9930069930069931
2000,random,35,0.9930069930069931
2000,random,36,0.9860139860139862
2000,random,37,0.9720279720279721
2000,random,38,0.9510489510489512
2000,random,39,1.0
2000,random,40,0.9720279720279721
2000,random,41,0.9790209790209792
2000,random,42,0.9860139860139862
2000,random,43,0.9860139860139862
2000,random,44,0.9860139860139862
2000,random,45,0.9720279720279721
2000,random,46,0.9790209790209792
2000,random,47,0.9930069930069931
2000,random,48,0.9860139860139862
2000,random,49,0.9580419580419581
2000,random,50,0.9930069930069931
2000,random,51,0.9930069930069931
2000,random,52,0.965034965034965
2000,random,53,0.9790209790209792
2000,random,54,0.965034965034965
2000,random,55,0.9440559440559443
2000,random,56,0.9790209790209792
2000,random,57,0.9720279720279721
2000,random,58,0.9790209790209792
2000,random,59,0.9860139860139862
2000,random,60,0.9930069930069931
2000,random,61,0.9860139860139862
2000,random,62,0.9790209790209792
2000,random,63,0.9790209790209792
2000,random,64,0.9860139860139862
2000,random,65,0.9720279720279721
2000,random,66,0.9720279720279721
2000,random,67,0.9720279720279721
2000,random,68,0.9930069930069931
2000,random,69,0.965034965034965
2000,random,70,0.9860139860139862
2000,random,71,0.9790209790209792
2000,random,72,0.9860139860139862
2000,random,73,0.9720279720279721
2000,random,74,0.965034965034965
2000,random,75,0.9790209790209792
2000,random,76,0.9930069930069931
2000,random,77,0.9930069930069931
2000,random,78,0.9860139860139862
2000,random,79,0.9930069930069931
2000,random,80,0.9930069930069931
2000,random,81,0.9930069930069931
2000,random,82,0.9720279720279721
2000,random,83,0.9440559440559443
2000,random,84,0.9860139860139862
2000,random,85,0.9860139860139862
2000,random,86,0.9930069930069931
2000,random,87,0.9930069930069931
2000,random,88,0.9720279720279721
2000,random,89,0.965034965034965
2000,random,90,0.9860139860139862
2000,random,91,0.9790209790209792
2000,random,92,0.9860139860139862
2000,random,93,0.9580419580419581
2000,random,94,0.9930069930069931
2000,random,95,0.9580419580419581
2000,random,96,0.9790209790209792
2000,random,97,0.9790209790209792
2000,random,98,0.965034965034965
2000,random,99,0.9860139860139862
5000,top_discrimination,0,0.8251748251748254
5000,fisher_info_at_mean,0,0.6363636363636365
5000,random,0,0.9930069930069931
5000,random,1,0.9720279720279721
5000,random,2,0.9930069930069931
5000,random,3,0.9790209790209792
5000,random,4,0.9930069930069931
5000,random,5,0.9720279720279721
5000,random,6,0.9930069930069931
5000,random,7,0.9860139860139862
5000,random,8,0.9790209790209792
5000,random,9,0.9930069930069931
5000,random,10,0.9860139860139862
5000,random,11,0.9930069930069931
5000,random,12,0.9930069930069931
5000,random,13,0.9860139860139862
5000,random,14,0.9790209790209792
5000,random,15,0.9860139860139862
5000,random,16,0.9930069930069931
5000,random,17,0.965034965034965
5000,random,18,0.9930069930069931
5000,random,19,0.9860139860139862
5000,random,20,0.9930069930069931
5000,random,21,0.9720279720279721
5000,random,22,0.9860139860139862
5000,random,23,0.9860139860139862
5000,random,24,0.9930069930069931
5000,random,25,0.965034965034965
5000,random,26,0.9930069930069931
5000,random,27,0.9860139860139862
5000,random,28,0.9790209790209792
5000,random,29,0.9790209790209792
5000,random,30,0.9930069930069931
5000,random,31,0.9930069930069931
5000,random,32,1.0
5000,random,33,0.9790209790209792
5000,random,34,1.0
5000,random,35,0.9790209790209792
5000,random,36,0.9860139860139862
5000,random,37,0.9930069930069931
5000,random,38,1.0
5000,random,39,0.9860139860139862
5000,random,40,0.9930069930069931
5000,random,41,0.9860139860139862
5000,random,42,0.9790209790209792
5000,random,43,0.9860139860139862
5000,random,44,0.9860139860139862
5000,random,45,0.9930069930069931
5000,random,46,0.9720279720279721
5000,random,47,1.0
5000,random,48,0.9930069930069931
5000,random,49,0.9930069930069931
5000,random,50,1.0
5000,random,51,0.9860139860139862
5000,random,52,0.965034965034965
5000,random,53,0.9860139860139862
5000,random,54,0.9790209790209792
5000,random,55,0.9930069930069931
5000,random,56,0.9930069930069931
5000,random,57,0.9930069930069931
5000,random,58,0.9930069930069931
5000,random,59,0.9930069930069931
5000,random,60,0.9930069930069931
5000,random,61,0.9930069930069931
5000,random,62,1.0
5000,random,63,1.0
5000,random,64,1.0
5000,random,65,1.0
5000,random,66,0.9860139860139862
5000,random,67,1.0
5000,random,68,0.9860139860139862
5000,random,69,0.9930069930069931
5000,random,70,1.0
5000,random,71,0.9930069930069931
5000,random,72,0.9930069930069931
5000,random,73,0.9790209790209792
5000,random,74,1.0
5000,random,75,0.9790209790209792
5000,random,76,0.9930069930069931
5000,random,77,0.9860139860139862
5000,random,78,0.9930069930069931
